device_type,failed_login_attempts,open_ports,total_vulnerabilities,critical_vulnerabilities,patch_age_days,network_anomaly_score,malware_alerts,privilege_escalation_attempts,previous_security_incidents,risk_level
Server,6,3,7,1,16,63.6,1,0,0,MEDIUM
Desktop,3,5,7,0,113,51.4,0,4,2,HIGH
Workstation,7,4,2,2,61,51.9,0,1,2,MEDIUM
Server,6,7,5,2,48,51.1,0,2,2,HIGH
Laptop,7,6,5,3,98,50.4,1,0,1,HIGH
Workstation,2,3,4,1,34,44.2,0,0,1,LOW
Server,4,5,1,1,35,59.3,0,2,0,LOW
Server,4,6,5,0,6,22.0,1,0,2,LOW
Laptop,9,7,8,2,62,32.7,0,2,1,HIGH
Desktop,6,6,2,2,90,70.3,2,2,1,HIGH
Laptop,7,5,0,0,119,41.8,0,1,0,LOW
Workstation,9,5,1,0,63,30.8,0,0,1,LOW
Server,4,11,5,1,9,60.8,0,0,1,MEDIUM
Workstation,6,7,8,2,23,56.4,0,1,0,HIGH
Desktop,4,4,3,1,34,9.4,0,1,1,LOW
Laptop,2,10,0,0,108,54.1,1,1,0,MEDIUM
Desktop,5,6,8,0,70,41.0,2,0,4,HIGH
Laptop,3,1,5,1,112,53.7,0,0,1,MEDIUM
Workstation,6,6,5,1,102,38.2,1,1,2,HIGH
Server,5,4,4,1,106,48.2,0,0,2,MEDIUM
Server,3,3,1,1,33,0.0,0,2,1,LOW
Laptop,7,6,0,0,67,18.3,1,1,0,LOW
Workstation,2,6,2,2,7,54.3,1,0,1,LOW
Workstation,4,6,5,0,45,95.7,0,0,1,MEDIUM
Server,3,2,2,2,37,46.1,0,0,2,LOW
Laptop,7,5,1,1,19,22.8,0,0,1,LOW
Desktop,5,3,3,3,7,41.0,1,1,1,MEDIUM
Laptop,3,4,3,3,45,18.3,0,1,1,LOW
Laptop,7,10,3,0,8,65.5,0,1,2,MEDIUM
Server,6,5,5,0,74,39.1,0,0,1,LOW
Server,7,5,6,0,33,61.2,0,0,0,LOW
Workstation,3,5,5,0,27,34.6,0,1,1,LOW
Laptop,7,1,8,0,13,63.1,0,1,2,MEDIUM
Laptop,5,5,3,0,56,2.3,2,1,1,LOW
Desktop,2,7,1,1,20,38.5,2,1,1,MEDIUM
Laptop,4,6,2,0,69,49.9,1,0,2,MEDIUM
Laptop,2,5,4,0,119,32.1,0,0,0,LOW
Desktop,3,6,5,0,88,45.9,2,0,1,HIGH
Laptop,6,6,3,3,14,45.5,0,1,2,MEDIUM
Server,2,2,3,2,11,61.1,0,0,0,LOW
Desktop,4,4,1,0,105,51.7,0,0,0,LOW
Workstation,7,3,4,3,104,46.6,1,1,1,HIGH
Server,5,1,7,3,43,57.3,1,1,0,HIGH
Laptop,6,6,2,0,55,8.2,0,0,0,LOW
Workstation,3,6,4,1,45,21.4,1,0,0,LOW
Workstation,5,1,6,0,70,7.5,0,1,2,LOW
Laptop,8,3,2,2,25,50.1,0,0,1,LOW
Laptop,2,5,5,1,113,47.1,0,0,2,MEDIUM
Server,4,8,5,0,48,68.5,1,0,1,MEDIUM
Laptop,7,5,6,0,20,45.7,1,0,1,MEDIUM
Laptop,3,3,3,1,36,24.1,2,0,0,LOW
Laptop,3,6,4,1,107,40.9,0,2,3,HIGH
Server,8,3,5,2,34,0.0,0,0,2,LOW
Server,3,4,4,1,97,29.0,1,0,4,MEDIUM
Server,3,6,5,2,92,0.0,1,1,1,MEDIUM
Server,2,4,1,0,120,45.2,0,0,0,LOW
Desktop,4,5,2,1,18,31.9,0,1,1,LOW
Desktop,2,5,6,0,47,35.1,0,0,0,LOW
Laptop,9,5,4,0,101,17.5,1,1,1,MEDIUM
Laptop,6,3,3,2,15,23.3,0,0,0,LOW
Server,4,6,5,2,4,53.2,0,1,0,MEDIUM
Desktop,6,6,4,0,1,6.4,1,0,4,LOW
Desktop,2,6,5,1,9,49.1,0,1,1,LOW
Server,6,6,5,0,95,20.2,1,1,4,HIGH
Server,4,8,2,0,42,1.0,0,0,3,LOW
Desktop,9,4,1,1,16,65.0,0,2,1,MEDIUM
Desktop,6,7,3,3,85,67.2,0,1,0,HIGH
Laptop,5,4,2,1,37,26.1,0,3,2,LOW
Laptop,6,5,6,2,16,25.9,0,1,1,LOW
Desktop,5,6,1,1,119,32.5,0,0,2,LOW
Laptop,6,7,1,1,70,20.2,0,0,0,LOW
Laptop,6,4,4,1,53,24.1,0,2,0,LOW
Workstation,4,6,2,2,111,47.9,2,0,0,HIGH
Laptop,7,7,5,0,27,83.6,0,1,2,HIGH
Laptop,4,4,2,0,71,30.2,0,0,0,LOW
Laptop,4,1,1,0,91,60.5,0,1,0,LOW
Laptop,8,5,2,1,0,45.8,0,0,2,LOW
Server,6,5,6,2,32,1.2,0,0,0,LOW
Desktop,2,5,3,0,11,37.5,2,0,1,LOW
Server,9,9,2,1,64,34.7,0,0,0,LOW
Server,5,7,2,1,82,70.2,1,1,0,HIGH
Laptop,3,5,2,2,19,71.1,1,0,0,MEDIUM
Workstation,7,5,3,1,17,46.3,1,0,2,MEDIUM
Laptop,3,2,5,1,55,64.7,0,0,1,MEDIUM
Laptop,0,3,1,1,48,34.8,0,2,2,LOW
Laptop,8,2,2,1,13,62.6,0,0,2,LOW
Server,5,0,3,1,82,40.2,2,0,2,MEDIUM
Desktop,4,7,5,2,93,62.1,1,0,0,HIGH
Laptop,2,7,6,0,51,64.4,2,1,3,HIGH
Desktop,4,4,5,1,44,53.8,0,3,1,HIGH
Laptop,6,2,7,2,19,21.7,0,1,0,LOW
Server,5,6,4,1,38,28.7,1,1,0,LOW
Desktop,3,5,4,1,61,54.5,0,1,1,MEDIUM
Laptop,4,2,6,1,120,57.7,1,1,0,HIGH
Laptop,1,9,1,1,22,41.5,0,0,0,LOW
Server,8,6,4,2,100,31.1,1,0,2,HIGH
Laptop,6,4,8,3,60,42.2,0,0,1,HIGH
Laptop,5,3,4,1,67,31.9,0,0,1,LOW
Laptop,5,6,4,0,36,32.0,1,1,2,MEDIUM
Workstation,4,3,9,0,114,81.1,0,1,0,HIGH
Workstation,3,1,5,1,7,27.5,1,2,2,LOW
Server,5,6,2,0,25,49.2,0,2,3,MEDIUM
